,display_text_width,favorite_count,retweet_count,followers_count,friends_count,polarity,subjectivity,time
0,79,0,0,119.0,223.0,0.0,0.0,43045
1,62,0,0,100.0,260.0,0.0681818181818181,0.2272727272727272,43038
2,139,0,0,104.0,180.0,0.075,0.0,43031
3,37,0,0,93.0,98.0,0.0,0.0,43021
4,77,0,0,37.0,72.0,0.25,0.3333333333333333,43018
5,118,0,0,1602.0,464.0,-0.1597222222222222,0.3736111111111111,43004
6,15,0,0,170.0,401.0,0.0,0.0,42992
7,110,0,0,5528.0,2742.0,0.15,0.8333333333333333,42989
8,106,0,0,377435.0,1297.0,0.0,0.0,40594
9,89,3,0,1380.0,3198.0,0.0,0.0,41869
10,83,1,0,4121.0,4119.0,0.0,0.0,42780
11,44,0,0,999.0,4.0,-0.2,0.7,42469
12,99,0,0,130.0,306.0,0.1363636363636363,0.4545454545454545,42823
13,99,2,0,313037.0,3795.0,0.0454545454545454,0.1515151515151515,42983
14,52,1,0,316.0,396.0,0.85,1.0,42981
15,35,10,0,237.0,828.0,1.0,1.0,2421
16,32,2,0,1439.0,2823.0,-0.5,1.0,42979
17,99,124,9,6183.0,2208.0,0.1763888888888889,0.2222222222222222,24440
18,101,118,22,4674.0,3251.0,0.1049783549783549,0.334054834054834,4349
19,145,142,28,161.0,536.0,0.0,0.0,1734
20,156,14,7,1000.0,237.0,0.55,0.8444444444444444,2849
21,89,53,10,208.0,69.0,0.0,0.0,11032
22,109,37,11,900.0,2051.0,0.0,0.25,42049
23,106,346,66,1087.0,110.0,-0.0416666666666666,0.0166666666666666,5938
24,98,52,5,40.0,18.0,0.2166666666666666,0.4166666666666667,22497
25,119,88,18,114.0,140.0,0.0852272727272727,0.2272727272727272,3960
26,248,35,10,1052.0,82.0,0.0401785714285714,0.1773809523809524,1909
27,158,59,9,132.0,136.0,0.0393939393939393,0.2424242424242424,4544
28,221,49,17,274.0,318.0,0.25,0.25,5671
29,120,109,18,1607.0,1660.0,0.0,0.0,6982
30,120,48,9,2344.0,1082.0,0.2333333333333333,0.3333333333333333,21208
31,103,29,8,172.0,371.0,0.0,0.0,2715
32,168,8,1,54.0,210.0,0.15625,0.1666666666666666,28500
33,251,7,1,7714.0,6394.0,0.0897727272727272,0.1666666666666666,28500
34,167,31,4,240.0,269.0,0.2083333333333333,0.2814814814814815,15460
35,117,11,2,230.0,163.0,0.0,0.0,10650
36,83,17,3,1889.0,1612.0,0.0,0.0,11936
37,141,34,6,87.0,108.0,0.2708333333333333,0.4166666666666667,3254
38,174,3,0,3794.0,4420.0,0.0,0.0,42970
39,95,114,20,1138.0,270.0,0.0,0.0,28997
40,230,31,9,8503.0,254.0,0.1071428571428571,0.2785714285714286,1449
41,141,21,3,6470.0,2801.0,0.0081168831168831,0.0836038961038961,12633
42,105,66,7,727.0,950.0,0.2333333333333333,0.3333333333333333,4592
43,129,26,9,349.0,275.0,0.0,0.0,3410
44,138,51,7,627.0,620.0,0.5941558441558441,0.3614718614718614,2949
45,78,87,15,217.0,101.0,0.1805555555555555,0.2777777777777778,20854
46,195,28,9,1681.0,1441.0,0.2166666666666666,0.4166666666666667,5518
47,167,21,4,353.0,402.0,0.1692708333333333,0.2083333333333333,17971
48,266,32,13,157.0,126.0,0.0,0.0,2404
49,167,18,6,1090.0,504.0,0.5,0.5,3581
50,96,770,131,567.0,656.0,0.1026785714285714,0.2785714285714286,10386
51,171,29,8,1165.0,3696.0,0.1692708333333333,0.2083333333333333,22342
52,78,122,26,3779.0,3591.0,0.0,0.0,1598
53,221,36,5,919.0,6.0,0.1540674603174603,0.3162698412698413,18141
54,161,34,10,2541.0,28.0,0.2595238095238095,0.5547619047619048,4196
55,260,25,5,153.0,552.0,0.2054166666666667,0.2155555555555555,16383
56,130,44,9,540.0,803.0,0.0476190476190476,0.1682539682539682,7517
57,124,39,8,74.0,84.0,0.0684523809523809,0.1857142857142857,10224
58,59,38,3,14.0,140.0,0.0,0.0,42690
59,152,46,7,292.0,600.0,0.0904761904761904,0.2619047619047619,16875
60,186,9,2,127.0,192.0,0.15625,0.1666666666666666,23100
61,253,28,6,58.0,61.0,0.15,0.2833333333333334,14986
62,225,37,7,359304.0,57615.0,-0.0694444444444444,0.0222222222222222,10037
63,103,0,0,2273.0,2706.0,0.0,0.0,42963
64,276,0,0,2498.0,1820.0,0.0625,0.3,42952
65,62,4,0,389.0,420.0,0.1666666666666666,0.1666666666666666,1524
66,90,1,0,15.0,202.0,-0.2,0.6,42952
67,59,0,0,16.0,355.0,0.25,0.25,42919
68,114,1,0,16.0,18.0,0.2,0.2,42919
69,211,0,0,1116.0,4848.0,0.0623556998556998,0.1529581529581529,42912
70,82,1,1,45.0,77.0,0.1363636363636363,0.4545454545454545,42901
71,139,0,0,116.0,76.0,0.4333333333333333,0.8333333333333334,42898
72,128,0,0,1213.0,1311.0,0.0,0.0,42894
73,54,0,0,1086.0,6.0,-0.1,0.3,42891
74,96,0,0,2453.0,2463.0,0.1666666666666666,0.1999999999999999,42891
75,194,2,0,32914.0,7961.0,0.25,0.35,42878
76,34,0,0,814.0,34.0,0.0,0.0,42874
77,219,0,0,27.0,106.0,0.1117424242424242,0.1590909090909091,42871
78,54,0,0,368.0,96.0,0.0,0.0,42869
79,41,1,0,997.0,2700.0,0.0,0.5,42860
80,25,0,0,133.0,998.0,0.0,0.0,42850
81,62,0,0,1125.0,1022.0,0.0,0.0,42848
82,22,3,0,279.0,358.0,0.0,0.0,4502
83,43,0,0,5639.0,4379.0,0.0,0.0,42846
84,171,0,0,426.0,2232.0,0.1727272727272727,0.3507575757575757,42845
85,187,0,0,427414.0,101.0,-0.0236111111111111,0.5541666666666667,42837
86,212,2,3,76.0,198.0,0.1,0.4,41021
87,199,6,2,2004.0,193.0,0.1,0.4,41375
88,220,1,1,14986.0,1702.0,-0.0184343434343434,0.4805555555555554,40434
89,165,2,1,678.0,3502.0,0.2666666666666666,0.6166666666666667,39779
90,183,0,0,1332.0,2.0,0.1,0.4,42837
91,192,2,2,3016.0,1555.0,0.1,0.4,42071
92,102,1,1,115.0,256.0,0.4333333333333333,0.8333333333333334,39689
93,223,2,2,597.0,444.0,0.0,0.35,42288
94,171,6,1,293.0,322.0,0.1,0.4,40073
95,198,1,2,7294.0,301.0,0.1,0.3,41869
96,191,5,2,15326.0,8524.0,0.1,0.4,40723
97,16,0,0,894.0,54.0,0.0,0.0,42836
98,46,0,0,134.0,200.0,0.0,0.0,42812
99,61,0,0,40.0,94.0,0.0,0.0,41635
100,38,0,0,4.0,98.0,-0.3,0.4,42300
101,112,2,1,66.0,161.0,0.0,0.0833333333333333,42803
102,63,1,0,1514.0,1361.0,0.0,0.0,41679
103,73,0,0,2698.0,630.0,0.25,0.3333333333333333,42802
104,139,0,0,11506.0,8440.0,-0.15,0.2375,42793
105,140,0,0,12.0,46.0,0.3452380952380952,0.4285714285714285,42791
106,117,16,2,1335.0,799.0,0.2166666666666666,0.4166666666666667,42790
107,57,3,0,1044.0,929.0,0.0,0.0,42788
108,97,0,0,842.0,328.0,0.2,0.2583333333333333,42787
109,147,1,1,170.0,289.0,0.6119047619047618,0.7119047619047619,42773
110,95,0,0,1485.0,482.0,0.0681818181818181,0.2272727272727272,42773
111,70,5,1,4194.0,8.0,0.4333333333333333,0.8333333333333334,7574
112,76,0,0,3147.0,2158.0,0.4681818181818182,0.75,42763
113,78,0,0,1169.0,493.0,0.0,0.0,6643
114,84,0,0,1896.0,2668.0,0.0,0.0,42756
115,57,0,0,205.0,79.0,0.0,0.0666666666666666,42749
116,38,0,0,143.0,170.0,0.0,0.0,42748
117,78,0,0,5509.0,594.0,0.1071428571428571,0.25,42747
118,97,1,0,2674.0,4182.0,-0.6,0.9,42735
119,228,0,0,665.0,2799.0,-0.125,0.775,34893
120,36,0,0,3272.0,579.0,0.0,0.0,42729
121,68,0,0,1128.0,1670.0,0.0,0.0,42728
122,73,1,0,23363.0,1143.0,0.1428571428571428,0.7678571428571428,37713
123,92,0,0,1819.0,200.0,0.0,0.75,42725
124,98,241,30,117.0,67.0,0.0305555555555555,0.1388888888888888,12297
125,97,86,5,726.0,127.0,0.1805555555555555,0.2777777777777778,11029
126,76,139,22,905.0,399.0,0.0,0.05,6175
127,119,33,4,56.0,216.0,0.1805555555555555,0.2777777777777778,42710
128,102,101,6,592.0,799.0,0.0,0.2,10654
129,95,92,12,83.0,172.0,0.1805555555555555,0.2777777777777778,11838
130,115,174,31,547.0,1020.0,0.0454545454545454,0.1515151515151515,3989
131,67,48,2,72.0,268.0,0.0681818181818181,0.2272727272727272,6722
132,95,439,55,151.0,452.0,0.1805555555555555,0.2777777777777778,12805
133,113,72,9,260.0,30.0,0.1555555555555555,0.2222222222222222,5768
134,125,46,5,2944.0,2611.0,0.0722222222222222,0.1388888888888889,41954
135,76,132,10,1789.0,1594.0,0.0,0.0,6027
136,76,42,5,29.0,53.0,0.0,0.0,9716
137,77,100,19,468.0,767.0,0.0,0.0,6823
138,95,206,25,503.0,463.0,0.1805555555555555,0.2777777777777778,9890
139,91,78,11,3656.0,3138.0,0.0,0.0,1688
140,102,46,7,8.0,5.0,0.1805555555555555,0.2777777777777778,41742
141,102,77,10,14.0,39.0,0.0,0.1333333333333333,3416
142,93,107,14,2806.0,2269.0,0.0314814814814814,0.1814814814814814,10980
143,118,79,12,402.0,2151.0,0.0,0.0,2714
144,76,102,10,4750.0,4211.0,0.0,0.0,3140
145,96,64,7,22.0,80.0,0.0,0.0,6467
146,96,76,10,1344.0,1340.0,0.0,0.0,9680
147,78,1,0,0.0,3.0,0.5,0.5,42708
148,51,0,0,440.0,617.0,0.0,0.0,42685
149,53,0,0,664.0,1114.0,0.0681818181818181,0.2272727272727272,42681
150,139,1,1,71060.0,29729.0,0.15,0.225,38164
151,69,0,0,101.0,325.0,0.0,0.0,42675
152,38,6,2,2110.0,1683.0,0.0,0.0,6853
153,37,7,0,1865.0,4994.0,0.7333333333333333,0.9666666666666668,1455
154,38,2,1,174.0,448.0,0.0,0.0,2068
155,49,1,0,719.0,119.0,0.5,0.6,42675
156,97,1,1,13931.0,846.0,0.0,0.0,8940
157,100,0,0,1763.0,763.0,0.0,0.0,42674
158,30,1,0,1825.0,544.0,0.0,0.0,42653
159,143,37,11,272.0,265.0,0.1363636363636363,0.4545454545454545,42647
160,106,254,54,107740.0,1640.0,-0.125,0.375,12527
161,63,1,0,128.0,337.0,0.5,0.5,42647
162,59,0,0,145.0,61.0,0.25,0.25,42637
163,21,0,0,156.0,145.0,0.0,0.0,42088
164,74,0,0,1677.0,2649.0,0.1083333333333333,0.55,42186
165,88,0,0,510.0,324.0,0.0,0.3,42531
166,49,0,0,407.0,1.0,0.25,0.25,42636
167,95,0,0,161.0,123.0,0.0681818181818181,0.2272727272727272,42628
168,55,0,0,253.0,235.0,0.0,0.0,42625
169,72,0,0,789.0,298.0,0.0,0.0666666666666666,42619
170,63,0,0,50.0,23.0,0.0,0.0,35967
171,106,0,0,25913.0,5455.0,0.3777777777777777,0.5444444444444444,42619
172,96,0,0,629.0,1256.0,-0.021590909090909,0.546590909090909,42612
173,33,1,0,2928.0,677.0,0.4333333333333333,0.8333333333333334,42606
174,60,4,0,69.0,303.0,-0.0714285714285714,0.2142857142857142,42592
175,253,0,0,97.0,38.0,-0.4,0.4,41295
176,260,0,0,551.0,561.0,0.0,0.0,6948
177,274,2,0,575.0,499.0,0.7,0.9,7037
178,221,0,0,983.0,794.0,-0.1666666666666666,0.4333333333333333,6586
179,279,0,0,489.0,445.0,0.0,0.0,6510
180,244,0,0,211.0,334.0,0.0,0.0,42587
181,216,0,0,249.0,931.0,-0.0333333333333333,0.4166666666666667,41217
182,236,0,0,198079.0,98868.0,0.5333333333333333,0.4666666666666666,36422
183,259,0,0,1776.0,1219.0,-0.1666666666666666,0.4333333333333333,41507
184,276,0,0,3747147.0,966.0,-0.15,0.4,41369
185,247,0,0,505.0,361.0,0.0,0.0,6803
186,278,0,0,573.0,504.0,0.0,0.0625,41936
187,56,1,0,124.0,60.0,0.1363636363636363,0.4545454545454545,42586
188,70,3,0,99.0,109.0,0.0,0.0,41550
189,177,0,0,46.0,291.0,0.1354166666666666,0.2083333333333333,42576
190,54,0,0,128.0,150.0,0.0324675324675324,0.3344155844155844,42573
191,46,0,0,925.0,375.0,0.4181818181818181,0.5272727272727273,42566
192,28,3,0,33027.0,1429.0,0.0,0.0,42564
193,72,2,1,3320.0,4915.0,0.0,0.0,42556
194,50,0,0,924.0,3197.0,0.1875,0.2,42556
195,133,26,8,102.0,110.0,0.0553631553631553,0.1669071669071669,2227
196,152,5,5,884.0,949.0,0.1666666666666666,0.0499999999999999,42549
197,148,17,6,2.0,100.0,0.0625,0.1791666666666666,40031
198,123,12,6,1073.0,1031.0,0.3166666666666666,0.8666666666666667,41744
199,178,27,12,520959.0,63223.0,0.0,0.0,35162
200,234,23,8,703.0,667.0,0.26,0.3333333333333333,5512
201,104,16,7,8.0,93.0,0.1805555555555555,0.2777777777777778,2520
202,160,47,11,405.0,1363.0,0.2716450216450216,0.3729437229437229,3121
203,268,10,9,359.0,349.0,0.2,0.2,6446
204,206,15,10,24.0,125.0,0.0,0.0,2986
205,173,41,9,220.0,488.0,0.2277777777777777,0.4444444444444444,38315
206,121,19,7,1476.0,3645.0,0.1385416666666666,0.1944444444444444,1659
207,106,14,6,112.0,216.0,0.5,0.6,6655
208,245,18,6,46714.0,1155.0,0.203968253968254,0.4603174603174603,4090
209,105,16,10,2843.0,230.0,0.2166666666666666,0.4166666666666667,6253
210,131,22,9,492.0,492.0,0.2033617424242424,0.3219696969696969,8368
211,106,20,9,14.0,30.0,0.0835903679653679,0.2445887445887445,5722
212,120,7,7,1434.0,890.0,0.4333333333333333,0.8333333333333334,6033
213,133,19,7,616.0,1012.0,0.0,0.2,33728
214,269,23,8,204.0,373.0,0.1277777777777778,0.4111111111111111,35457
215,195,11,6,714.0,476.0,0.025,0.5,5838
216,148,18,7,2390.0,1453.0,0.1660894660894661,0.5007215007215007,10416
217,240,18,8,3.0,30.0,0.1869137806637806,0.3936147186147186,6798
218,159,18,6,591.0,332.0,0.2708333333333333,0.4166666666666667,36241
219,104,11,5,674.0,1428.0,0.0,0.0,33612
220,159,8,6,457.0,1328.0,0.1245670995670995,0.3755411255411255,9715
221,112,15,8,6518.0,3124.0,0.2708333333333333,0.4166666666666667,4011
222,101,10,6,0.0,0.0,0.0,0.0,33794
223,143,11,6,499.0,1420.0,0.4333333333333333,0.8333333333333334,10122
224,161,19,7,3.0,20.0,-0.12,0.47,34871
225,186,30,11,1290.0,986.0,0.0416666666666666,0.2666666666666666,41948
226,122,30,7,2054.0,1378.0,0.3416666666666667,0.5833333333333334,36025
227,94,63,20,1901.0,2307.0,0.1509469696969697,0.3219696969696969,1811
228,62,0,0,341.0,154.0,0.0,0.0,35064
229,112,1,0,716.0,668.0,0.5,0.7000000000000001,27766
230,200,0,0,7653.0,448.0,0.3333333333333333,0.2166666666666666,34308
231,95,0,0,367.0,137.0,0.5,0.5,31224
232,82,0,0,761.0,971.0,0.0,0.0,33008
233,97,0,0,6.0,167.0,0.2833333333333333,0.4666666666666666,42535
234,66,0,0,68.0,115.0,0.0681818181818181,0.2272727272727272,42503
235,51,0,0,1593.0,1319.0,0.0,0.0,42496
236,115,0,0,1337.0,902.0,0.0681818181818181,0.2606060606060606,42489
237,64,1,0,9670.0,787.0,0.0,0.0,42484
238,63,3,0,371.0,530.0,0.1333333333333333,0.45,42468
239,102,2,0,162.0,679.0,0.1083333333333333,0.35,42455
240,111,1,0,7154.0,1335.0,0.1354166666666666,0.2083333333333333,42441
241,102,41,7,6.0,115.0,0.25,0.3166666666666666,10796
242,68,390,44,1285.0,501.0,0.0,0.0,22326
243,54,2,1,122.0,119.0,0.0681818181818181,0.2272727272727272,22255
244,60,18,2,108.0,324.0,0.0,0.0,39626
245,44,27,2,939.0,938.0,0.0,0.0,6929
246,162,12,0,9827.0,6640.0,0.0,0.3333333333333333,41846
247,111,17,2,133.0,147.0,0.1098214285714285,0.2163690476190476,18388
248,72,6,1,591.0,600.0,-0.0714285714285714,0.2142857142857142,18120
249,158,7,2,263.0,195.0,0.0562499999999999,0.2249999999999999,42184
250,84,2,0,401.0,365.0,0.0,0.0,42434
251,74,0,0,70573.0,7832.0,0.1,1.0,42430
252,76,1,0,254.0,239.0,0.25,0.3333333333333333,34176
253,74,0,0,6406.0,7141.0,-0.4375,0.5,42429
254,110,1,0,2836.0,2830.0,0.5,0.5,42427
255,64,2,0,57.0,125.0,0.0,0.0,20176
256,149,0,0,748.0,434.0,0.0,0.0,42423
257,149,1,0,1434.0,1524.0,0.0666666666666666,0.4055555555555555,42413
258,163,1,1,741.0,716.0,0.0814814814814814,0.2037037037037037,42407
259,116,14,2,3922.0,52.0,0.0,0.5,42392
260,125,27,6,370.0,396.0,-0.2,0.35,1597
261,206,22,4,571.0,557.0,0.034090909090909,0.1136363636363636,2847
262,149,12,0,104.0,1878.0,0.0,0.0,2688
263,95,100,36,34.0,56.0,-0.0151515151515151,0.3106060606060606,3163
264,95,0,0,14615.0,3871.0,-0.375,0.5,42372
265,93,0,0,480.0,276.0,0.175,0.2249999999999999,42367
266,199,0,0,1130562.0,627.0,0.175,0.35,41791
267,137,0,0,1151.0,3616.0,0.03125,0.28125,10847
268,58,0,0,17080.0,11123.0,0.25,0.3,41565
269,22,0,0,161.0,223.0,0.25,0.3333333333333333,10601
270,139,1,0,659.0,701.0,0.0166666666666666,0.2944444444444444,42367
271,232,0,0,47.0,7.0,0.1734848484848485,0.2893939393939395,42361
272,56,0,0,7386.0,239.0,0.2,0.225,21742
273,109,0,0,571.0,2550.0,0.3416666666666667,0.5833333333333334,42355
274,66,0,0,8.0,23.0,0.4333333333333333,0.8333333333333334,42348
275,55,0,0,7.0,32.0,0.0,0.0,42343
276,34,0,0,4.0,11.0,0.1428571428571428,0.2678571428571428,42337
277,57,0,0,502.0,606.0,0.0,0.0,42326
278,141,1,0,1294.0,923.0,0.0,0.0,4780
279,85,5,0,64.0,61.0,0.4166666666666666,0.7416666666666667,42324
280,52,2,0,226.0,120.0,0.4333333333333333,0.8333333333333334,42315
281,41,0,0,1032.0,1237.0,0.0,0.0,42310
282,151,0,0,2148.0,709.0,0.45,0.625,42306
283,110,0,0,1067.0,1035.0,0.2,0.275,42300
284,87,5,1,721.0,717.0,0.0,0.0,42263
285,258,0,0,1331.0,2166.0,0.06,0.09,42251
286,64,1,0,30.0,19.0,0.125,0.1666666666666666,42245
287,55,1,0,1207.0,1761.0,0.0,0.0,42244
288,37,0,0,0.0,9.0,0.4333333333333333,0.8333333333333334,42240
289,51,2,0,11501.0,7990.0,-0.2916666666666667,0.5416666666666666,42227
290,27,0,0,1094.0,1070.0,0.0,0.0,42220
291,100,1,0,2023.0,401.0,0.0,0.0,42219
292,42,0,0,1100.0,1387.0,0.0,0.0,42213
293,85,1,0,2089.0,952.0,0.175,0.275,42210
294,88,5,0,748.0,1856.0,0.0,0.0,42208
295,108,1,0,1064.0,479.0,1.0,1.0,42208
296,18,0,0,233466.0,923.0,0.1,1.0,42201
297,106,0,0,58.0,118.0,-0.1,0.0,42194
298,57,2,0,1476.0,2052.0,0.0681818181818181,0.2272727272727272,42181
299,111,0,0,2152.0,3593.0,0.1,1.0,42179
300,163,1,0,117.0,240.0,0.0692929292929292,0.1794949494949494,42160
301,126,0,0,56.0,131.0,0.0,0.0,42160
302,269,2,0,468.0,2243.0,0.0539393939393939,0.1909090909090909,29979
303,117,0,0,1881.0,1857.0,0.0148148148148148,0.0925925925925926,42045
304,81,0,0,644.0,630.0,0.5,0.5,42149
305,51,0,0,119.0,395.0,0.0,0.0,5111
306,98,1,0,445.0,1336.0,0.5,0.5,12946
307,52,3,0,493.0,732.0,-0.125,0.125,42117
308,62,0,0,231.0,748.0,0.0,0.0,42116
309,165,2,1,66.0,1097.0,0.1,0.4,42089
310,275,3,5,237.0,388.0,0.35,0.55,42081
311,85,0,0,201.0,231.0,-0.0607142857142857,0.3339285714285714,14201
312,115,1,0,157.0,117.0,0.4181818181818181,0.5272727272727273,42078
313,82,0,0,386.0,318.0,0.2604166666666667,0.2222222222222222,42057
314,168,0,0,67.0,176.0,0.4361111111111111,0.6861111111111112,42022
315,106,12,1,6464.0,6414.0,0.4333333333333333,0.8333333333333334,40271
316,78,816,152,175.0,161.0,0.0,0.0,10854
317,82,12,3,241.0,352.0,0.0,0.0,10202
318,109,22,3,4.0,29.0,0.0499999999999999,0.6,13372
319,144,3,0,160.0,122.0,0.4333333333333333,0.8333333333333334,42010
320,90,5,2,35.0,161.0,0.0,0.0,10384
321,103,84,16,212.0,294.0,0.2666666666666666,0.3333333333333333,4106
322,122,2,0,57.0,32.0,0.0,0.0,7334
323,55,5,1,89.0,244.0,0.0,0.0,2136
324,89,5,0,515.0,468.0,0.0,0.0,40709
325,92,8,3,9638.0,239.0,0.4333333333333333,0.8333333333333334,2579
326,97,2,0,48.0,260.0,0.0,0.0,42008
327,77,0,0,162.0,435.0,0.0,0.0,4182
328,100,0,0,38.0,143.0,-0.0166666666666666,0.1333333333333333,41997
329,143,0,0,49159.0,1175.0,0.1143939393939394,0.3049242424242424,12442
330,49,0,1,577.0,536.0,0.2,0.4,5696
331,53,0,0,912.0,358.0,0.0,0.0,41992
332,125,0,0,3.0,96.0,0.265625,0.2375,41965
333,131,0,0,5021.0,1295.0,0.5,1.0,41945
334,82,0,0,105.0,236.0,0.5,1.0,33020
335,67,1,0,3909.0,384.0,0.0,0.0,41933
336,65,1,0,447.0,1677.0,0.25,0.5,41924
337,55,1,0,243.0,774.0,0.0,0.0,41751
338,81,0,0,1096.0,732.0,0.0,0.0,41923
339,125,0,0,26.0,131.0,0.1444444444444444,0.2777777777777778,41920
340,84,0,0,52.0,233.0,0.0,0.0,41904
341,37,1,0,30726.0,1215.0,0.4,0.45,41900
342,56,1,1,966.0,3662.0,0.0,0.0,34647
343,129,0,1,119.0,106.0,0.1363636363636363,0.4772727272727273,41897
344,84,0,0,445.0,301.0,0.4333333333333333,0.8333333333333334,41890
345,57,1,0,286.0,51.0,0.4333333333333333,0.8333333333333334,41889
346,82,1,0,4430.0,1231.0,0.252987012987013,0.3737662337662338,41884
347,37,1,0,112.0,65.0,1.0,1.0,41869
348,104,0,0,2206.0,1078.0,0.0681818181818181,0.2272727272727272,41857
349,190,1,1,12.0,57.0,0.0878314393939393,0.1313131313131313,41850
350,136,5,1,114.0,881.0,0.4555555555555555,0.7555555555555555,41848
351,65,1,0,621.0,523.0,0.0,0.0,41823
352,33,0,0,19377.0,14991.0,0.0,0.0,41823
353,128,90,10,24359.0,208.0,0.2722222222222222,0.561111111111111,37818
354,122,15,6,24.0,141.0,0.1060335497835497,0.2565205627705628,25500
355,112,4,1,905.0,382.0,0.0518668831168831,0.1752705627705627,27000
356,125,18,2,339.0,130.0,0.5,0.6,36637
357,120,17,6,88.0,117.0,0.5,0.9,36071
358,112,35,2,1563.0,172.0,0.0518668831168831,0.1752705627705627,9000
359,112,290,39,540.0,488.0,0.0518668831168831,0.1752705627705627,1552
360,93,5,0,1663.0,1320.0,-0.1254329004329004,0.4255411255411255,37560
361,111,29,3,109.0,79.0,0.0,0.1,33464
362,111,3,1,99.0,517.0,0.0,0.1,41820
363,83,2,0,12080.0,10616.0,-0.2307692307692307,0.4615384615384615,35173
364,122,807,135,11906.0,2097.0,0.1060335497835497,0.2565205627705628,5315
365,122,7,0,4.0,28.0,0.1060335497835497,0.2565205627705628,30300
366,122,14,2,2116.0,57.0,0.1060335497835497,0.2565205627705628,20700
367,122,4,1,3337.0,2072.0,0.1060335497835497,0.2565205627705628,39000
368,93,107,12,357.0,370.0,-0.1254329004329004,0.4255411255411255,32180
369,112,3,0,225.0,401.0,0.0518668831168831,0.1752705627705627,34200
370,112,11,0,3549.0,1886.0,0.0518668831168831,0.1752705627705627,19800
371,122,1,0,5497.0,6040.0,0.1060335497835497,0.2565205627705628,34500
372,151,0,0,15008.0,10011.0,0.0625,0.0625,41818
373,44,0,0,934.0,698.0,0.0,0.0,41816
374,15,0,0,2474.0,2280.0,0.0,0.0,41804
375,70,5,1,5.0,43.0,0.0,0.0,41804
376,84,1,0,7329.0,665.0,0.5681818181818181,0.3772727272727272,41797
377,18,0,0,401.0,324.0,0.0,0.0,41793
378,42,0,0,2132.0,2362.0,0.8,1.0,41792
379,74,0,0,13.0,152.0,0.0,0.0,41792
380,70,1,0,3281.0,2266.0,0.0833333333333333,0.2,41782
381,81,0,0,39.0,44.0,0.4333333333333333,0.8333333333333334,41776
382,279,167,28,357.0,2120.0,0.0325892857142857,0.1513392857142857,41761
383,36,1,0,4.0,47.0,0.0,0.0,41747
384,62,0,0,8.0,44.0,0.0,0.0,41733
385,88,2,0,859.0,193.0,0.1071428571428571,0.25,41714
386,134,0,0,44.0,334.0,0.1124999999999999,0.7375,41698
387,24,3,0,1366.0,586.0,0.0,0.0,41686
388,64,0,0,6421.0,387.0,0.0,0.0,16537
389,47,3,0,129.0,338.0,0.0,0.0,16428
390,37,0,0,361705.0,714.0,0.0,0.0,15995
391,69,2,0,113.0,91.0,0.0,0.0,41583
392,45,0,0,1408.0,15.0,0.7,0.6000000000000001,41685
393,20,0,0,119.0,758.0,0.0,0.0,15979
394,57,1,0,2888.0,2667.0,0.0,0.0,18129
395,31,1,0,33.0,7.0,-0.2,0.6,41676
396,42,0,0,169.0,465.0,0.675,0.8,23468
397,27,0,0,1013.0,340.0,0.0,0.0,41676
398,32,3,0,613.0,155.0,0.0,0.0,41660
399,50,1,0,297.0,675.0,0.0,0.0,41607
400,135,26,2,1823.0,856.0,-0.0659090909090909,0.2136363636363636,41593
401,24,0,0,419.0,732.0,0.0,0.0,41592
402,97,440,74,1801.0,1318.0,0.0549783549783549,0.4229437229437229,37443
403,262,306,43,11813.0,9276.0,0.0381673881673881,0.2457431457431457,33382
404,68,59,7,134.0,284.0,0.0681818181818181,0.2272727272727272,33606
405,202,135,19,842.0,471.0,0.125,0.1666666666666666,32043
406,156,31,4,183.0,166.0,0.0162337662337662,0.1672077922077922,41583
407,22,0,0,99.0,1.0,-0.5,1.0,41567
408,36,0,0,70234.0,1694.0,-0.1145833333333333,0.3333333333333333,41565
409,77,0,0,1188.0,1216.0,0.0,0.0,41531
410,35,0,0,100.0,105.0,0.0,0.0,41507
411,57,0,0,211.0,119.0,0.3,0.1,41443
412,85,0,0,243.0,1436.0,0.5,0.6,40459
413,201,0,0,754.0,578.0,0.4,0.7666666666666667,41127
414,85,0,0,787.0,167.0,0.2,0.22,36339
415,56,0,0,1229.0,23.0,0.0,0.0,41502
416,28,0,0,292.0,698.0,0.0,0.0,41492
417,122,5,4,170.0,240.0,0.0,0.0,41492
418,205,3,0,6079.0,6681.0,0.2154761904761905,0.6494047619047619,41491
419,166,0,0,450.0,571.0,0.1988636363636363,0.3559343434343434,41486
420,194,1,0,3595.0,904.0,0.3135416666666666,0.7208333333333334,41484
421,25,0,0,3317.0,4811.0,0.5,0.6,41484
422,55,1,1,83.0,35.0,0.0,0.0,41483
423,30,0,0,2202.0,1065.0,0.0,0.0,41482
424,42,1,1,154.0,518.0,0.0,0.0,41467
425,102,1,0,0.0,5.0,0.25,0.3333333333333333,41460
426,113,3,3,206.0,36.0,0.0,0.0,39227
427,102,5,0,46.0,52.0,0.0,0.0,33300
428,102,5,2,5.0,14.0,0.0,0.0,28535
429,102,30,4,144.0,193.0,0.25,0.3333333333333333,25844
430,118,0,0,201.0,169.0,0.2763227513227513,0.4358465608465607,41447
431,35,0,1,842.0,755.0,0.0,0.0,41446
432,43,2,2,6.0,161.0,0.0,0.0,29258
433,31,0,0,20.0,64.0,0.4333333333333333,0.8333333333333334,8129
